"('P0', 'id')","('P1_a ', 'Idade')","('P1_b ', 'Genero')","('P1_c ', 'Cor/raca/etnia')","('P1_d ', 'PCD')","('P1_e ', 'experiencia_profissional_prejudicada')","('P1_l ', 'Nivel de Ensino')","('P1_m ', 'Área de Formação')","('P2_a ', 'Qual sua situação atual de trabalho?')","('P2_g ', 'Nivel')","('P2_h ', 'Faixa salarial')","('P2_m ', 'Você participou de entrevistas de emprego nos últimos 6 meses?')","('P2_o ', 'Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?')","('P2_p ', 'Atualmente qual a sua forma de trabalho?')"
oedxhf1lq3mix81nqp2oedxhf1cmhh0v,26.0,Masculino,Preta,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Pleno,de R$ 4.001/mês a R$ 6.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Propósito do trabalho e da empresa, Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional",Modelo 100% presencial
oea69f1oepxis2q2ckusoea69pgcm65q,40.0,Masculino,Branca,Não,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),,de R$ 16.001/mês a R$ 20.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",Modelo 100% remoto
odzl2c057k4iiu0i5i7godzl2cy00mq9,30.0,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Pleno,de R$ 6.001/mês a R$ 8.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados, Propósito do trabalho e da empresa",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
odo37ea5iv7imv0ryodo378mubkl5mge,28.0,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,Estudante de Graduação,Outras Engenharias,Empregado (CLT),Júnior,de R$ 3.001/mês a R$ 4.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário",Modelo 100% remoto
odfxouc4ehi1mm9cnwqodfxoml7n6qna,26.0,Masculino,Branca,Não,,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Pleno,de R$ 8.001/mês a R$ 12.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Remuneração/Salário, Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados",Modelo 100% remoto
od83adr93njfh9od83az4l6ol81e7dxk,24.0,Masculino,Branca,Não,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,Sênior,de R$ 12.001/mês a R$ 16.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Remuneração/Salário, Flexibilidade de trabalho remoto, Propósito do trabalho e da empresa",Modelo 100% remoto
och5r4k61sqs8ucyoch5rbb9kchc9tok,23.0,Masculino,Branca,Não,,Graduação/Bacharelado,Outras Engenharias,"Desempregado, buscando recolocação",,,,,
obtgvlp4h7eretu61kd3xnobtg7kwyrn,32.0,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Sênior,de R$ 8.001/mês a R$ 12.000/mês,"Sim, fui aprovado e mudei de emprego","Remuneração/Salário, Flexibilidade de trabalho remoto",Modelo híbrido com dias fixos de trabalho presencial
ob9nnu11ty719r14job9nndaq38mye41,27.0,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",Graduação/Bacharelado,Outra opção,Empregado (CLT),Júnior,de R$ 6.001/mês a R$ 8.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Benefícios, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho",Modelo 100% remoto
oariw4w0lgi183ayyg5pnhoariw4wymy,27.0,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Júnior,de R$ 4.001/mês a R$ 6.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Propósito do trabalho e da empresa, Ambiente e clima de trabalho, Remuneração/Salário",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
